location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Sunshine Duration,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,°C,min,mm,cm,%,%,km/h,°
level,2 m elevation corrected,700 mb,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [700 mb],Basel Sunshine Duration,Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220110T0300,2.2005286,-16.47,0.0,0.0,0.0,83.0,100.0,16.595179,347.4712
20220110T0400,0.67052865,-16.56,0.0,0.0,0.0,95.0,63.0,13.358861,345.96375
20220110T0500,0.37052867,-16.51,0.0,0.0,0.0,95.0,82.0,11.503113,339.8637
20220110T0600,0.9605287,-16.49,0.0,0.0,0.0,93.0,100.0,10.703569,340.3462
20220110T0700,1.0505286,-16.34,0.0,0.0,0.0,93.0,100.0,10.30883,335.22485
20220110T0800,0.99052864,-16.26,0.0,0.0,0.0,94.0,100.0,8.435069,320.19443
20220110T0900,0.9605287,-16.22,0.0,0.0,0.0,94.0,100.0,6.638072,310.60132
20220110T1000,1.1205287,-16.15,0.0,0.0,0.0,93.0,100.0,7.145796,310.91437
20220110T1100,1.6905286,-15.98,0.0,0.0,0.0,92.0,100.0,7.928177,320.52753
20220110T1200,2.2805285,-15.65,0.0,0.0,0.0,88.0,100.0,10.00256,329.7436
20220110T1300,2.6505284,-15.03,0.0,0.0,0.0,83.0,100.0,11.435313,331.8214
20220110T1400,3.4805286,-14.74,0.0,0.0,0.0,82.0,100.0,9.0645685,353.15723
20220110T1500,4.3405285,-14.55,53.939396,0.0,0.0,76.0,10.0,6.638072,12.528809
20220110T1600,4.7305284,-14.58,53.939396,0.0,0.0,71.0,10.0,5.3517847,42.27368
20220110T1700,4.8205285,-14.5,53.939396,0.0,0.0,67.0,10.0,5.692099,55.304832
20220110T1800,4.3905287,-14.14,60.0,0.0,0.0,67.0,0.0,6.3690495,42.70938
20220110T1900,3.0205286,-13.69,1.05,0.0,0.0,74.0,0.0,9.346143,74.35776
20220110T2000,0.8805287,-13.03,0.0,0.0,0.0,83.0,0.0,7.2359104,95.71059
20220110T2100,0.18052867,-12.44,0.0,0.0,0.0,85.0,0.0,4.5536795,108.434944
20220110T2200,-0.36947134,-11.84,0.0,0.0,0.0,86.0,0.0,3.4152596,108.434944
20220110T2300,-0.59947133,-11.18,0.0,0.0,0.0,85.0,0.0,3.8773184,111.80141
20220111T0000,-0.6794713,-10.65,0.0,0.0,0.0,85.0,0.0,3.4152596,108.434944
20220111T0100,-0.7994713,-10.44,0.0,0.0,0.0,87.0,0.0,3.6,89.99999
20220111T0200,-0.96947134,-10.4,0.0,0.0,0.0,87.0,0.0,3.0758414,69.443954
20220111T0300,-0.94947135,-10.32,0.0,0.0,0.0,85.0,0.0,0.8049845,26.565033
20220111T0400,-1.1194713,-10.01,0.0,0.0,0.0,84.0,0.0,1.4399999,360.0
20220111T0500,-1.2594713,-9.52,0.0,0.0,0.0,84.0,0.0,3.0758414,339.44397
20220111T0600,-1.2994714,-8.78,0.0,0.0,0.0,83.0,0.0,2.5959969,326.30994
20220111T0700,-1.4794713,-8.29,0.0,0.0,0.0,85.0,0.0,3.319036,310.60132
20220111T0800,-1.7494713,-7.99,0.0,0.0,0.0,86.0,2.0,4.0249224,296.56506
20220111T0900,-2.1494715,-8.02,0.0,0.0,0.0,89.0,21.0,5.904439,307.5686
20220111T1000,-2.1394715,-8.06,0.0,0.0,0.0,89.0,100.0,6.638072,310.60132
20220111T1100,-0.7394713,-7.97,0.0,0.0,0.0,83.0,100.0,2.9024127,330.25513
20220111T1200,0.81052864,-8.07,60.0,0.0,0.0,78.0,0.0,4.3349743,4.7636414
20220111T1300,1.4905287,-8.11,60.0,0.0,0.0,77.0,0.0,7.208994,2.8624115
20220111T1400,3.9605286,-7.91,60.0,0.0,0.0,66.0,0.0,17.414474,60.25511
20220111T1500,4.5305285,-7.84,60.0,0.0,0.0,63.0,0.0,16.1198,66.29735
20220111T1600,4.8605285,-7.85,60.0,0.0,0.0,60.0,0.0,16.516901,73.53998
20220111T1700,4.3205285,-7.87,60.0,0.0,0.0,64.0,0.0,14.494192,75.61861
20220111T1800,3.0005286,-7.91,60.0,0.0,0.0,70.0,0.0,10.829958,68.55225
20220111T1900,1.3605287,-7.75,2.3666666,0.0,0.0,77.0,0.0,9.693296,58.671295
20220111T2000,-0.21947134,-7.56,0.0,0.0,0.0,80.0,0.0,7.4128532,60.945396
20220111T2100,-0.87947136,-7.66,0.0,0.0,0.0,81.0,0.0,5.315336,61.699234
20220111T2200,-1.0294713,-7.56,0.0,0.0,0.0,81.0,0.0,4.379589,80.537674
20220111T2300,-1.0994713,-7.43,0.0,0.0,0.0,80.0,0.0,3.8773184,68.19859
20220112T0000,-1.2794713,-7.36,0.0,0.0,0.0,79.0,0.0,3.563818,44.999985
20220112T0100,-1.6094713,-7.36,0.0,0.0,0.0,77.0,0.0,5.1165614,50.7106
20220112T0200,-1.9394714,-7.39,0.0,0.0,0.0,74.0,0.0,5.3999996,53.130096
20220112T0300,-2.2394714,-7.3,0.0,0.0,0.0,73.0,0.0,4.8433046,48.01277
20220112T0400,-2.6194715,-7.19,0.0,0.0,0.0,75.0,0.0,5.8603754,42.510437
20220112T0500,-2.9994714,-7.07,0.0,0.0,0.0,72.0,0.0,5.3517847,47.726303
20220112T0600,-3.2294714,-6.95,0.0,0.0,0.0,73.0,0.0,4.3349743,48.366455
20220112T0700,-3.7694714,-6.92,0.0,0.0,0.0,75.0,0.0,4.510787,28.610443
20220112T0800,-4.2394714,-6.91,0.0,0.0,0.0,79.0,12.0,3.0758414,20.556046
20220112T0900,-4.5394716,-7.05,0.0,0.0,0.0,83.0,16.0,2.0364676,44.999985
20220112T1000,-4.4494715,-7.2,40.973064,0.0,0.0,82.0,13.0,1.609969,26.565033
20220112T1100,-3.6894715,-7.13,52.727272,0.0,0.0,73.0,12.0,2.8116899,320.19443
20220112T1200,-2.6594715,-6.95,56.18182,0.0,0.0,71.0,6.3,4.39436,325.008
20220112T1300,-1.7294713,-6.66,46.666668,0.0,0.0,72.0,22.0,6.763786,334.7989
20220112T1400,3.2905285,-6.08,60.0,0.0,0.0,57.0,0.0,10.24578,18.434952
20220112T1500,2.3905284,-6.04,60.0,0.0,0.0,66.0,0.0,8.350138,352.5686
20220112T1600,2.3605285,-5.95,60.0,0.0,0.0,69.0,0.0,3.2399998,360.0
20220112T1700,2.3605285,-5.95,60.0,0.0,0.0,73.0,0.0,2.9024127,352.875
20220112T1800,2.1905286,-6.12,60.0,0.0,0.0,73.0,0.0,5.815978,338.1986
20220112T1900,0.66052866,-6.3,3.6666667,0.0,0.0,82.0,0.0,5.0528407,355.91437
20220112T2000,-0.7894713,-6.17,0.0,0.0,0.0,92.0,0.0,3.7064266,29.05458
20220112T2100,-1.4094714,-5.14,0.0,0.0,0.0,88.0,0.0,4.0249224,63.43495
20220112T2200,-1.6294713,-4.24,0.0,0.0,0.0,82.0,0.0,2.8799999,89.99999
20220112T2300,-1.7494713,-3.92,0.0,0.0,0.0,83.0,0.0,4.3498964,65.55604
20220113T0000,-1.9294714,-4.18,0.0,0.0,0.0,87.0,0.0,3.0758414,69.443954
20220113T0100,-1.9594713,-4.1,0.0,0.0,0.0,87.0,0.0,1.8,89.99999
20220113T0200,-1.9294714,-3.96,0.0,0.0,0.0,83.0,0.0,2.9024127,82.874985
20220113T0300,-2.0394714,-3.57,0.0,0.0,0.0,76.0,0.0,3.6179552,95.71059
20220113T0400,-2.3194714,-3.41,0.0,0.0,0.0,72.0,0.0,4.3349743,94.76365
20220113T0500,-2.6794715,-3.2,0.0,0.0,0.0,70.0,0.0,3.6179552,95.71059
20220113T0600,-2.8494716,-2.83,0.0,0.0,0.0,70.0,0.0,3.2399998,89.99999
20220113T0700,-3.0794713,-2.57,0.0,0.0,0.0,72.0,0.0,2.6208394,74.054596
20220113T0800,-3.3494716,-2.28,0.0,0.0,0.0,76.0,0.0,2.16,360.0
20220113T0900,-3.7494714,-2.07,0.0,0.0,0.0,80.0,0.0,2.6208394,344.0546
20220113T1000,-3.6394715,-2.06,47.716667,0.0,0.0,81.0,0.0,2.7416782,336.8014
20220113T1100,-2.7694714,-1.99,60.0,0.0,0.0,79.0,0.0,3.396233,302.00537
20220113T1200,-1.7094713,-1.71,60.0,0.0,0.0,76.0,0.0,4.198285,329.03625
20220113T1300,-0.70947134,-1.44,60.0,0.0,0.0,75.0,0.0,5.2416787,344.0546
20220113T1400,2.7705286,-1.18,60.0,0.0,0.0,62.0,0.0,6.162207,6.7098236
20220113T1500,3.2605286,-0.9,60.0,0.0,0.0,67.0,0.0,5.7599998,360.0
20220113T1600,3.6805286,-0.84,60.0,0.0,0.0,69.0,0.0,5.04,360.0
20220113T1700,3.7305286,-0.66,60.0,0.0,0.0,72.0,0.0,4.0249224,349.69516
20220113T1800,3.2505286,-0.6,60.0,0.0,0.0,70.0,0.0,5.3999996,323.13013
20220113T1900,2.1605287,-0.66,4.9666667,0.0,0.0,71.0,0.0,4.0249224,333.43497
20220113T2000,1.3405286,-0.65,0.0,0.0,0.0,73.0,0.0,1.835647,348.69006
20220113T2100,1.0105287,-0.7,0.0,0.0,0.0,75.0,0.0,2.16,270.0
20220113T2200,0.8205287,-0.6,0.0,0.0,0.0,78.0,0.0,2.52,270.0
20220113T2300,0.5705287,-0.55,0.0,0.0,0.0,80.0,0.0,1.4399999,270.0
20220114T0000,0.5705287,-0.4,0.0,0.0,0.0,79.0,0.0,0.35999998,270.0
20220114T0100,0.45052865,-0.17,0.0,0.0,0.0,79.0,0.0,0.35999998,180.0
20220114T0200,0.36052868,-0.07,0.0,0.0,0.0,78.0,0.0,2.3051248,128.6598
20220114T0300,0.23052865,0.0,0.0,0.0,0.0,78.0,0.0,3.9763298,84.805565
20220114T0400,-0.45947134,-0.11,0.0,0.0,0.0,81.0,0.0,4.3349743,85.23635
20220114T0500,-0.9894713,-0.29,0.0,0.0,0.0,84.0,0.0,5.1544156,102.09476
20220114T0600,-1.1794714,-0.56,0.0,0.0,0.0,86.0,0.0,3.8939953,123.69006
20220114T0700,-1.1194713,-0.82,0.0,0.0,0.0,86.0,0.0,2.9024127,119.74488
20220114T0800,-1.1294713,-1.13,0.0,0.0,0.0,86.0,0.0,2.0991426,120.96376
20220114T0900,-1.2594713,-1.33,0.0,0.0,0.0,86.0,0.0,1.835647,101.30993
20220114T1000,-0.7994713,-1.43,48.266666,0.0,0.0,82.0,0.0,1.1384199,108.434944
20220114T1100,0.7005287,-1.42,60.0,0.0,0.0,77.0,0.0,0.35999998,180.0
20220114T1200,1.9605286,-1.16,60.0,0.0,0.0,69.0,0.0,0.8049845,63.43495
20220114T1300,3.0905285,-0.84,60.0,0.0,0.0,68.0,0.0,1.8,53.130096
20220114T1400,4.6905284,-1.03,60.0,0.0,0.0,64.0,0.0,5.5887027,75.06858
20220114T1500,6.0305285,-1.06,60.0,0.0,0.0,60.0,0.0,5.937272,75.96376
20220114T1600,6.9005284,-1.01,60.0,0.0,0.0,59.0,0.0,6.28713,76.75948
20220114T1700,6.9005284,-0.95,60.0,0.0,0.0,62.0,0.0,5.6920996,71.56504
20220114T1800,6.5205283,-0.91,60.0,0.0,0.0,64.0,0.0,6.9527545,68.7495
20220114T1900,5.3905287,-0.78,6.266667,0.0,0.0,72.0,0.0,7.342588,78.69006
20220114T2000,3.5005286,-0.68,0.0,0.0,0.0,84.0,0.0,6.8399997,89.99999
20220114T2100,2.3805285,-0.72,0.0,0.0,0.0,88.0,0.0,4.802999,102.99461
20220114T2200,1.6805286,-0.68,0.0,0.0,0.0,89.0,0.0,3.0547013,135.0
20220114T2300,0.7505287,-0.63,0.0,0.0,0.0,93.0,0.0,2.8799999,180.0
20220115T0000,0.110528655,-0.63,0.0,0.0,0.0,93.0,0.0,2.2768397,161.56505
20220115T0100,0.030528657,-0.71,0.0,0.0,0.0,90.0,0.0,2.5959969,123.69006
20220115T0200,-0.12947133,-0.76,0.0,0.0,0.0,89.0,0.0,2.6208394,105.9454
20220115T0300,-0.20947134,-0.73,0.0,0.0,0.0,90.0,0.0,3.219938,116.56505
20220115T0400,-0.14947134,-0.67,0.0,0.0,0.0,88.0,0.0,3.319036,130.60129
20220115T0500,-0.04947134,-0.56,0.0,0.0,0.0,87.0,0.0,2.8116899,129.80557
20220115T0600,0.110528655,-0.45,0.0,0.0,0.0,87.0,1.0,2.4149535,116.56505
20220115T0700,0.56052864,-0.36,0.0,0.0,0.0,88.0,2.0,4.6938257,122.47119
20220115T0800,2.0005286,-0.28,0.0,0.0,0.0,85.0,0.0,9.339208,117.55281
20220115T0900,1.5505286,-0.27,0.0,0.0,0.0,87.0,4.0,12.245293,114.30454
20220115T1000,1.3505287,-0.27,45.85808,0.0,0.0,88.0,6.0,14.33234,115.27772
20220115T1100,2.2905285,-0.27,60.0,0.0,0.0,82.0,0.0,16.279802,108.03428
20220115T1200,3.3705285,-0.31,60.0,0.0,0.0,78.0,0.0,17.462782,104.322716
20220115T1300,4.4505286,-0.4,60.0,0.0,0.0,75.0,0.0,17.106628,98.471146
20220115T1400,5.8505287,-0.19,60.0,0.0,0.0,68.0,0.0,12.371645,98.36588
20220115T1500,6.9905286,-0.42,60.0,0.0,0.0,66.0,0.0,10.805999,91.90914
20220115T1600,7.5805287,-0.62,60.0,0.0,0.0,65.0,0.0,9.726665,87.8789
20220115T1700,7.2605286,-0.76,60.0,0.0,0.0,68.0,0.0,8.225035,66.8014
20220115T1800,6.290529,-0.86,60.0,0.0,0.0,73.0,0.0,8.217153,61.18921
20220115T1900,3.8805285,-0.97,7.5833335,0.0,0.0,88.0,0.0,8.473393,77.73522
20220115T2000,1.4705287,-1.2,0.0,0.0,0.0,90.0,0.0,6.5693827,99.46232
20220115T2100,1.0405287,-1.54,0.0,0.0,0.0,90.0,5.0,4.3349743,138.36646
20220115T2200,1.2905287,-1.72,0.0,0.0,0.0,90.0,0.0,5.3517847,137.72632
20220115T2300,1.5105287,-1.92,0.0,0.0,0.0,90.0,0.0,5.6233797,129.80557
20220116T0000,1.7605287,-2.19,0.0,0.0,0.0,86.0,0.0,4.6102495,128.6598
20220116T0100,1.9505286,-2.36,0.0,0.0,0.0,82.0,0.0,5.4833565,113.19859
20220116T0200,2.1005285,-2.5,0.0,0.0,0.0,79.0,0.0,5.815978,111.80141
20220116T0300,2.1205285,-2.9,0.0,0.0,0.0,77.0,0.0,5.0142193,111.03751
20220116T0400,1.8405286,-3.52,0.0,0.0,0.0,78.0,0.0,3.6,126.869896
20220116T0500,1.7805287,-4.09,0.0,0.0,0.0,72.0,0.0,4.32,180.0
20220116T0600,1.2805287,-4.55,0.0,0.0,0.0,60.0,0.0,7.072878,194.74356
20220116T0700,0.5705287,-4.99,0.0,0.0,0.0,57.0,0.0,7.754637,201.8014
20220116T0800,0.45052865,-5.34,0.0,0.0,0.0,66.0,0.0,6.9247384,207.89728
20220116T0900,0.6905287,-5.73,0.0,0.0,0.0,67.0,0.0,5.0142193,201.0375
20220116T1000,0.90052867,-6.09,49.533333,0.0,0.0,67.0,0.0,3.96,180.0
20220116T1100,2.3105285,-6.38,60.0,0.0,0.0,64.0,0.0,2.968636,255.96376
20220116T1200,4.2205286,-6.74,60.0,0.0,0.0,58.0,0.0,11.212135,275.52753
20220116T1300,5.5305285,-7.44,0.0,0.0,0.0,55.0,100.0,16.75064,278.65253
20220116T1400,4.8605285,-8.86,60.0,0.0,0.0,52.0,0.0,17.81909,278.1301
20220116T1500,5.3805285,-9.32,60.0,0.0,0.0,48.0,0.0,19.201874,276.4588
20220116T1600,5.4705286,-9.79,60.0,0.0,0.0,50.0,0.0,18.175545,277.9696
20220116T1700,4.9705286,-10.03,60.0,0.0,0.0,54.0,0.0,14.759999,282.6804
20220116T1800,3.7505286,-10.22,60.0,0.0,0.0,61.0,0.0,12.0694,287.35403
20220116T1900,3.4505286,-10.54,0.0,0.0,0.0,64.0,100.0,11.183201,266.30862
20220116T2000,3.0805285,-11.14,0.0,0.0,0.0,66.0,100.0,10.829959,254.57785
20220116T2100,3.2605286,-11.47,0.0,0.0,0.0,66.0,100.0,10.163227,247.0679
20220116T2200,3.5505285,-11.41,0.0,0.0,0.0,67.0,100.0,8.0899935,237.72437
20220116T2300,3.5105286,-11.19,0.0,0.0,0.0,70.0,100.0,6.297428,210.96376
20220117T0000,3.3905284,-11.01,0.0,0.0,0.0,75.0,100.0,4.6102495,218.65982
20220117T0100,2.9405286,-10.81,0.0,0.0,0.0,81.0,100.0,3.8268526,221.18593
20220117T0200,3.2605286,-10.62,0.0,0.0,0.0,83.0,100.0,4.8433046,228.01279
20220117T0300,4.0805287,-10.01,0.0,0.0,0.0,77.0,100.0,7.0911775,246.0375
20220117T0400,4.290529,-9.65,0.0,0.0,0.0,78.0,100.0,12.864649,252.07208
20220117T0500,4.1705284,-9.32,0.0,0.0,0.0,82.0,100.0,15.745627,259.46082
20220117T0600,4.2305284,-8.96,0.0,0.0,0.0,83.0,100.0,14.04,270.0
20220117T0700,4.040529,-8.49,0.0,0.0,0.0,85.0,100.0,14.081478,274.3987
20220117T0800,3.6705287,-8.6,0.0,0.0,0.0,86.0,100.0,14.044615,271.4688
20220117T0900,3.4805286,-8.41,0.0,0.0,0.0,87.0,100.0,12.24,270.0
20220117T1000,3.7905285,-8.19,0.0,0.0,0.0,85.0,100.0,12.959999,270.0
20220117T1100,4.6805286,-8.06,49.696968,0.0,0.0,81.0,17.0,14.04,270.0
20220117T1200,5.5705285,-8.25,60.0,0.0,0.0,77.0,0.0,13.75558,276.009
20220117T1300,6.3605285,-8.6,60.0,0.0,0.0,75.0,0.0,15.281989,285.01837
20220117T1400,6.3905287,-7.14,18.78788,0.0,0.0,69.0,68.0,14.869351,276.95297
20220117T1500,6.7405286,-6.9,53.939396,0.0,0.0,68.0,10.0,15.281989,285.01837
20220117T1600,6.8405285,-6.33,60.0,0.0,0.0,68.0,0.0,15.629971,284.6764
20220117T1700,6.5205283,-6.36,60.0,0.0,0.0,69.0,0.0,15.042659,291.0375
20220117T1800,5.4505286,-6.68,60.0,0.0,0.0,74.0,0.0,11.384199,288.43497
20220117T1900,4.0505285,-6.56,10.4,0.0,0.0,83.0,0.0,11.159999,270.0
20220117T2000,3.1905286,-6.67,0.0,0.0,0.0,87.0,0.0,9.531505,259.11447
20220117T2100,2.8805285,-6.91,0.0,0.0,0.0,88.0,0.0,7.754637,248.1986
20220117T2200,2.9505286,-6.92,0.0,0.0,0.0,87.0,6.0,6.696387,233.74615
20220117T2300,3.3305285,-6.24,0.0,0.0,0.0,85.0,100.0,4.1046314,217.87498
20220118T0000,3.2005286,-5.97,0.0,0.0,0.0,85.0,100.0,2.5455842,171.8699
20220118T0100,3.0205286,-5.74,0.0,0.0,0.0,86.0,100.0,2.3051248,141.34018
20220118T0200,2.8305285,-4.87,0.0,0.0,0.0,87.0,100.0,4.1046314,105.25512
20220118T0300,2.6305285,-4.62,0.0,0.0,0.0,87.0,100.0,6.519877,96.34019
20220118T0400,1.6805286,-4.72,0.0,0.0,0.0,91.0,0.0,7.5685663,92.72631
20220118T0500,0.6905287,-4.87,0.0,0.0,0.0,94.0,0.0,7.968939,108.434944
20220118T0600,0.99052864,-4.83,0.0,0.0,0.0,91.0,57.0,7.5942082,121.429565
20220118T0700,0.6905287,-4.89,0.0,0.0,0.0,93.0,100.0,4.3498964,114.44395
20220118T0800,0.7605287,-4.77,0.0,0.0,0.0,93.0,100.0,4.0249224,100.30484
20220118T0900,0.30052868,-4.17,0.0,0.0,0.0,95.0,100.0,4.6938252,94.398705
20220118T1000,0.60052866,-3.72,0.0,0.0,0.0,93.0,100.0,4.6938252,94.398705
20220118T1100,1.6305287,-3.29,55.151512,0.0,0.0,87.0,8.0,4.379589,80.537674
20220118T1200,3.8905284,-3.2,54.545452,0.0,0.0,77.0,9.0,13.009903,75.57923
20220118T1300,5.5505285,-3.21,60.0,0.0,0.0,67.0,0.0,19.483284,73.90918
20220118T1400,6.2605286,-2.32,60.0,0.0,0.0,64.0,0.0,16.311613,67.96376
20220118T1500,6.8005285,-2.26,60.0,0.0,0.0,62.0,0.0,15.379206,73.68614
20220118T1600,6.7305284,-2.2,60.0,0.0,0.0,61.0,0.0,14.417988,87.137596
20220118T1700,6.1905284,-1.9,60.0,0.0,0.0,64.0,0.0,12.24,89.99999
20220118T1800,4.8405285,-1.8,60.0,0.0,0.0,71.0,0.0,12.015589,98.61565
20220118T1900,3.3905284,-1.93,11.8,0.0,0.0,77.0,0.0,11.966953,96.911224
20220118T2000,2.3105285,-1.99,0.0,0.0,0.0,81.0,0.0,9.793058,107.10272
20220118T2100,1.5505286,-1.84,0.0,0.0,0.0,83.0,0.0,8.217153,118.81079
20220118T2200,0.86052865,-1.49,0.0,0.0,0.0,84.0,0.0,7.386582,136.97493
20220118T2300,0.73052865,-1.48,0.0,0.0,0.0,84.0,0.0,8.287822,124.38034
20220119T0000,0.5805287,-1.54,0.0,0.0,0.0,85.0,0.0,10.514218,128.04704
20220119T0100,0.30052868,-1.92,0.0,0.0,0.0,86.0,0.0,10.685391,122.61925
20220119T0200,0.18052867,-2.39,0.0,0.0,0.0,86.0,0.0,11.435313,118.17859
20220119T0300,0.25052866,-2.49,0.0,0.0,0.0,85.0,0.0,12.979984,123.69006
20220119T0400,-0.38947132,-2.6,0.0,0.0,0.0,89.0,0.0,11.983188,122.73523
20220119T0500,-0.82947135,-3.34,0.0,0.0,0.0,91.0,0.0,9.826088,118.442924
20220119T0600,-1.0094713,-3.79,0.0,0.0,0.0,92.0,0.0,9.339208,117.55281
20220119T0700,-0.9894713,-4.4,0.0,0.0,0.0,91.0,0.0,10.028439,111.03751
20220119T0800,-0.83947134,-4.84,0.0,0.0,0.0,89.0,0.0,10.587917,107.818886
20220119T0900,-0.82947135,-5.18,0.0,0.0,0.0,87.0,0.0,8.766573,109.17901
20220119T1000,-0.069471344,-5.68,51.816666,0.0,0.0,82.0,0.0,8.766573,109.17901
20220119T1100,2.4705286,-5.96,0.0,0.0,0.0,76.0,100.0,5.3999996,216.8699
20220119T1200,5.5205283,-6.01,0.0,0.0,0.0,76.0,100.0,16.808569,260.1342
20220119T1300,5.290529,-6.14,0.0,0.0,0.0,74.0,100.0,18.888851,262.3332
20220119T1400,6.4605284,-5.44,0.0,0.0,0.0,66.0,100.0,14.04,270.0
20220119T1500,7.3505287,-5.74,0.0,0.0,0.0,63.0,100.0,16.954432,266.34778
20220119T1600,7.3005285,-5.98,0.0,0.0,0.0,63.0,100.0,20.16,270.0
20220119T1700,6.5805287,-6.43,0.0,0.0,0.0,64.0,100.0,20.774214,278.97263
20220119T1800,5.1005287,-6.84,44.848488,0.0,0.0,69.0,25.0,17.414476,277.125
20220119T1900,3.5905285,-7.69,13.2,0.0,0.0,77.0,0.0,12.599999,270.0
20220119T2000,2.6005285,-8.3,0.0,0.0,0.0,84.0,0.0,13.138765,260.5377
20220119T2100,1.8905287,-8.71,0.0,0.0,0.0,85.0,3.0,13.450708,254.47589
20220119T2200,1.7705287,-9.01,0.0,0.0,0.0,85.0,67.0,13.276144,257.4712
20220119T2300,2.0205286,-9.51,0.0,0.0,0.0,87.0,100.0,10.8955765,262.40536
20220120T0000,2.2705286,-10.29,0.0,0.0,0.0,89.0,100.0,14.05845,272.93567
20220120T0100,2.3005285,-10.42,0.0,0.0,0.0,87.0,100.0,16.23596,266.1859
20220120T0200,2.2905285,-10.67,0.0,0.0,0.0,85.0,100.0,17.76081,252.29958
20220120T0300,2.6205285,-11.33,0.0,0.0,0.0,80.0,100.0,20.12461,259.69516
20220120T0400,2.4605286,-12.07,0.0,0.0,0.0,85.0,100.0,19.959719,262.74683
20220120T0500,2.4105287,-12.81,0.0,0.0,0.0,86.0,100.0,19.839235,258.48618
20220120T0600,2.2905285,-12.91,0.0,0.2,0.14,88.0,100.0,19.813087,267.91745
20220120T0700,1.6005287,-12.93,0.0,0.6,0.42000002,92.0,100.0,18.014393,272.29062
20220120T0800,1.6505287,-13.61,0.0,0.3,0.21000001,91.0,100.0,19.652176,278.42697
20220120T0900,1.3105286,-13.44,0.0,0.2,0.14,92.0,100.0,20.082708,284.53445
20220120T1000,1.5305287,-12.49,0.0,0.2,0.14,91.0,100.0,18.1041,287.35403
20220120T1100,2.6305285,-12.36,0.0,0.0,0.0,85.0,100.0,14.4,306.8699
20220120T1200,3.4005284,-12.1,53.939396,0.0,0.0,80.0,10.0,11.983188,327.26477
20220120T1300,4.1905284,-11.55,53.939396,0.0,0.0,74.0,10.0,13.0447235,332.02054
20220120T1400,4.540529,-11.06,19.999998,0.0,0.0,72.0,66.0,17.654686,286.58734
20220120T1500,4.790529,-12.8,15.151516,0.0,0.0,71.0,74.0,18.1041,287.35403
20220120T1600,4.8505287,-14.18,8.48485,0.0,0.0,69.0,85.0,18.335276,313.40887
20220120T1700,3.9905286,-14.74,0.0,0.1,0.0,78.0,100.0,20.037485,342.21613
20220120T1800,3.7005286,-13.03,0.0,0.0,0.0,64.0,100.0,22.608458,350.83765
20220120T1900,2.4805286,-13.31,13.878451,0.0,0.0,64.0,5.0,17.057314,352.725
20220120T2000,1.0305287,-13.55,0.0,0.0,0.0,74.0,0.0,13.009903,345.57922
20220120T2100,0.23052865,-14.49,0.0,0.0,0.0,79.0,0.0,8.557102,337.75098
20220120T2200,-0.08947134,-15.1,0.0,0.0,0.0,81.0,0.0,6.1305785,319.76367
20220120T2300,-0.25947133,-15.18,0.0,0.0,0.0,81.0,3.0,5.3517847,317.72632
20220121T0000,-0.46947134,-15.28,0.0,0.0,0.0,83.0,0.0,6.28713,336.37064
20220121T0100,-0.50947136,-15.25,0.0,0.0,0.0,83.0,0.0,6.725354,344.4759
20220121T0200,-0.76947135,-15.14,0.0,0.0,0.0,86.0,0.0,6.379216,343.61047
20220121T0300,-1.0094713,-14.65,0.0,0.0,0.0,89.0,0.0,6.9899354,348.11133
20220121T0400,-1.3194714,-14.19,0.0,0.0,0.0,91.0,0.0,6.5693827,350.5377
20220121T0500,-1.5294713,-14.25,0.0,0.0,0.0,92.0,4.0,5.506941,11.309921
20220121T0600,-1.6794714,-14.36,0.0,0.0,0.0,92.0,8.0,4.8433046,48.01277
20220121T0700,-1.8994713,-13.9,0.0,0.0,0.0,89.0,12.0,5.8048253,82.874985
20220121T0800,-2.0894713,-12.97,0.0,0.0,0.0,83.0,16.0,6.2145634,100.00798
20220121T0900,-2.4894714,-12.8,0.0,0.0,0.0,87.0,20.0,4.6938257,147.52881
20220121T1000,-2.4694715,-12.9,45.39394,0.0,0.0,87.0,15.0,2.9024127,187.12502
20220121T1100,-1.4494714,-12.39,60.0,0.0,0.0,80.0,0.0,2.0991426,239.03624
20220121T1200,-0.58947134,-11.86,60.0,0.0,0.0,74.0,0.0,2.2768397,341.56506
20220121T1300,0.08052866,-11.65,60.0,0.0,0.0,72.0,0.0,3.2399998,360.0
20220121T1400,4.2005286,-10.32,60.0,0.0,0.0,58.0,0.0,2.7416782,23.198593
20220121T1500,5.9505286,-9.95,48.484848,0.0,0.0,52.0,19.0,0.35999998,89.99999
